'Total number of unique words in the entire corpus is', 2632)
('Total number of words in Alice in Wonderland text is', 26693)

Top 25 frequent words with its frequencies and rank

('the', 'has a frequency of', 1644, 'and is ranked', 1, 'with Probability of', 0.06158918068407448, 'r*Pr value of', 0.06158918068407448)
('and', 'has a frequency of', 872, 'and is ranked', 2, 'with Probability of', 0.03266774060615143, 'r*Pr value of', 0.06533548121230286)
('to', 'has a frequency of', 729, 'and is ranked', 3, 'with Probability of', 0.02731053085078485, 'r*Pr value of', 0.08193159255235455)
('a', 'has a frequency of', 632, 'and is ranked', 4, 'with Probability of', 0.023676619338403326, 'r*Pr value of', 0.0947064773536133)
('she', 'has a frequency of', 541, 'and is ranked', 5, 'with Probability of', 0.020267485857715505, 'r*Pr value of', 0.10133742928857753)
('it', 'has a frequency of', 530, 'and is ranked', 6, 'with Probability of', 0.019855392799610384, 'r*Pr value of', 0.1191323567976623)
('of', 'has a frequency of', 514, 'and is ranked', 7, 'with Probability of', 0.019255984715093846, 'r*Pr value of', 0.13479189300565692)
('said', 'has a frequency of', 462, 'and is ranked', 8, 'with Probability of', 0.01730790844041509, 'r*Pr value of', 0.13846326752332072)
('i', 'has a frequency of', 410, 'and is ranked', 9, 'with Probability of', 0.015359832165736335, 'r*Pr value of', 0.138238489491627)
('alice', 'has a frequency of', 386, 'and is ranked', 10, 'with Probability of', 0.014460720038961525, 'r*Pr value of', 0.14460720038961525)
('in', 'has a frequency of', 369, 'and is ranked', 11, 'with Probability of', 0.013823848949162701, 'r*Pr value of', 0.1520623384407897)
('you', 'has a frequency of', 365, 'and is ranked', 12, 'with Probability of', 0.013673996928033567, 'r*Pr value of', 0.1640879631364028)
('was', 'has a frequency of', 357, 'and is ranked', 13, 'with Probability of', 0.013374292885775296, 'r*Pr value of', 0.17386580751507885)
('that', 'has a frequency of', 280, 'and is ranked', 14, 'with Probability of', 0.010489641479039448, 'r*Pr value of', 0.14685498070655228)
('as', 'has a frequency of', 263, 'and is ranked', 15, 'with Probability of', 0.009852770389240624, 'r*Pr value of', 0.14779155583860937)
('her', 'has a frequency of', 248, 'and is ranked', 16, 'with Probability of', 0.009290825310006369, 'r*Pr value of', 0.1486532049601019)
('at', 'has a frequency of', 212, 'and is ranked', 17, 'with Probability of', 0.007942157119844154, 'r*Pr value of', 0.1350166710373506)
('on', 'has a frequency of', 193, 'and is ranked', 18, 'with Probability of', 0.007230360019480762, 'r*Pr value of', 0.13014648035065374)
('all', 'has a frequency of', 182, 'and is ranked', 19, 'with Probability of', 0.006818266961375641, 'r*Pr value of', 0.12954707226613718)
('with', 'has a frequency of', 181, 'and is ranked', 20, 'with Probability of', 0.0067808039560933574, 'r*Pr value of', 0.13561607912186716)
